iter	RMSE
0	6.682537582
1	6.53313994
2	6.389895634
3	6.259439537
4	6.105881903
5	5.976065975
6	5.859428028
7	5.728836719
8	5.61411562
9	5.513153102
10	5.419720138
11	5.298459157
12	5.185573257
13	5.091033001
14	4.995158577
15	4.898424601
16	4.797795215
17	4.698736666
18	4.63718589
19	4.569551946
20	4.493934066
21	4.432497258
22	4.353823402
23	4.271672749
24	4.207476999
25	4.137821119
26	4.083360199
27	4.025637608
28	3.970041255
29	3.926282658
30	3.890573092
31	3.846204296
32	3.793572807
33	3.751288297
34	3.692771513
35	3.650409817
36	3.612773517
37	3.554961424
38	3.512264849
39	3.487072483
40	3.463257195
41	3.425212666
42	3.374100818
43	3.336316373
44	3.313849029
45	3.281530866
46	3.262853893
47	3.234190209
48	3.194589189
49	3.152342705
50	3.123788862
51	3.085710103
52	3.059128482
53	3.036282944
54	3.013213817
55	2.996833429
56	2.978867522
57	2.941324457
58	2.922829569
59	2.886599965
60	2.875309566
61	2.841138675
62	2.804139017
63	2.790511749
64	2.767077944
65	2.754974264
66	2.730075774
67	2.712514121
68	2.690207948
69	2.674202361
70	2.662919154
71	2.647647736
72	2.62768484
73	2.604589575
74	2.601868244
75	2.59047216
76	2.568433343
77	2.560977704
78	2.543198506
79	2.522045059
80	2.499032656
81	2.491262501
82	2.475798245
83	2.46485351
84	2.454341846
85	2.446967434
86	2.428964409
87	2.422568995
88	2.421545085
89	2.410836164
90	2.403272714
91	2.398794213
92	2.392586186
93	2.379635863
94	2.370972631
95	2.360086427
96	2.34183841
97	2.327026565
98	2.319703292
99	2.308281624
100	2.299376911
101	2.295569868
102	2.276522681
103	2.259351771
104	2.250938372
105	2.233254251
106	2.222217085
107	2.209345745
108	2.203859836
109	2.188930901
110	2.182752314
111	2.177190982
112	2.171687145
113	2.16506822
114	2.152465931
115	2.139945628
116	2.128279119
117	2.118697848
118	2.114589767
119	2.108393203
120	2.100646665
121	2.096606325
122	2.084771747
123	2.081305126
124	2.074660206
125	2.067700769
126	2.062028187
127	2.055879185
128	2.044206359
129	2.037438251
130	2.033444172
131	2.023217163
132	2.013131207
133	2.006591522
134	1.999913834
135	1.994185099
136	1.991485694
137	1.980989284
138	1.977977923
139	1.972757914
140	1.966924562
141	1.959839221
142	1.953333428
