iter	Passed	Remaining
0	3	5405
1	6	4688
2	9	4511
3	11	4449
4	14	4443
5	17	4384
6	20	4270
7	22	4229
8	25	4220
9	28	4198
10	30	4171
11	33	4134
12	35	4094
13	38	4064
14	40	4042
15	43	4035
16	46	4032
17	48	4013
18	51	3990
19	53	3959
20	56	3959
21	58	3936
22	61	3934
23	63	3926
24	66	3910
25	68	3896
26	71	3897
27	74	3890
28	76	3896
29	79	3896
30	82	3888
31	84	3876
32	86	3864
33	89	3856
34	91	3846
35	94	3834
36	96	3819
37	99	3821
38	101	3816
39	103	3786
40	105	3754
41	107	3743
42	110	3740
43	113	3749
44	115	3744
45	118	3738
46	120	3731
47	123	3728
48	125	3721
49	128	3716
50	130	3712
51	133	3710
52	135	3704
53	137	3692
54	140	3689
55	142	3684
56	145	3677
57	147	3671
58	150	3666
59	152	3657
60	154	3641
61	156	3637
62	159	3631
63	161	3622
64	164	3621
65	165	3606
66	168	3605
67	170	3597
68	173	3592
69	175	3590
70	178	3586
71	180	3583
72	183	3590
73	186	3586
74	187	3556
75	190	3560
76	192	3556
77	195	3556
78	197	3558
79	200	3556
80	202	3552
81	205	3549
82	207	3544
83	210	3548
84	212	3545
85	215	3542
86	217	3536
87	220	3534
88	221	3509
89	223	3504
90	226	3511
91	229	3508
92	231	3504
93	234	3500
94	236	3494
95	239	3499
96	241	3497
97	244	3494
98	246	3491
99	248	3485
100	251	3487
101	253	3472
102	256	3472
103	258	3469
104	260	3467
105	263	3464
106	266	3464
107	268	3464
108	271	3459
109	273	3456
110	276	3454
111	278	3448
112	280	3447
113	283	3442
114	285	3438
115	288	3436
116	290	3434
117	293	3432
118	295	3428
119	297	3425
120	300	3425
121	303	3425
122	305	3422
123	308	3420
124	310	3419
125	313	3415
126	315	3411
127	318	3408
128	320	3405
129	323	3406
130	325	3403
131	328	3399
132	330	3397
133	332	3393
134	335	3389
135	337	3388
136	340	3386
137	342	3384
138	345	3380
139	347	3379
140	350	3376
141	352	3373
142	355	3371
143	357	3370
144	360	3368
145	363	3366
146	365	3363
147	367	3360
148	370	3355
149	372	3353
150	375	3350
151	377	3347
152	380	3347
153	382	3344
154	385	3342
155	387	3339
156	390	3337
157	392	3335
158	395	3332
159	397	3329
160	400	3326
161	402	3325
162	405	3322
163	407	3320
164	410	3318
165	412	3314
166	414	3312
167	417	3308
168	419	3305
169	422	3305
170	424	3302
171	427	3301
172	430	3299
173	432	3296
174	435	3295
175	437	3293
176	439	3288
177	442	3285
178	444	3283
179	447	3282
180	450	3282
181	452	3279
182	455	3278
183	457	3274
184	460	3272
185	462	3270
186	465	3268
187	468	3266
188	470	3264
189	472	3260
190	475	3257
191	478	3256
192	480	3253
193	483	3251
194	485	3248
195	487	3244
196	490	3241
197	492	3238
198	495	3236
199	497	3234
200	499	3231
201	502	3228
202	504	3225
203	507	3223
204	509	3220
205	512	3217
206	514	3214
207	516	3210
208	519	3208
209	521	3205
210	524	3202
211	526	3198
212	529	3198
213	531	3196
214	534	3192
215	536	3189
216	539	3186
217	541	3183
218	543	3180
219	546	3177
220	548	3177
221	551	3174
222	553	3171
223	556	3169
224	559	3167
225	561	3166
226	564	3165
227	566	3163
228	569	3160
229	571	3157
230	574	3154
231	576	3151
232	579	3150
233	581	3148
234	584	3145
235	587	3144
236	589	3142
237	592	3142
238	594	3138
239	597	3136
240	600	3134
241	602	3131
242	604	3129
243	607	3127
244	610	3125
245	612	3122
246	614	3119
247	617	3116
248	619	3114
249	622	3112
250	624	3109
251	627	3107
252	630	3105
253	632	3102
254	635	3102
255	638	3100
256	640	3098
257	643	3095
258	645	3092
259	648	3090
260	650	3087
261	652	3084
262	655	3082
263	657	3080
264	660	3077
265	663	3076
266	665	3073
267	668	3072
268	670	3068
269	672	3064
270	675	3062
271	677	3059
272	680	3056
273	682	3054
274	685	3051
275	687	3048
276	690	3048
277	693	3046
278	695	3043
279	697	3040
